[START]  [2022-07-11 04:41:56] Connected to tracker: http://bttracker.debian.org:6969/announce successfully
[INFO]  [2022-07-11 04:42:05] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #515 has been downloaded

[INFO]  [2022-07-11 04:42:05] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #517 has been downloaded

[INFO]  [2022-07-11 04:42:05] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #516 has been downloaded

[INFO]  [2022-07-11 04:42:05] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #518 has been downloaded

[INFO]  [2022-07-11 04:42:06] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #489 has been downloaded

[INFO]  [2022-07-11 04:42:06] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #520 has been downloaded

[INFO]  [2022-07-11 04:42:06] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #519 has been downloaded

[INFO]  [2022-07-11 04:42:06] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #521 has been downloaded

[INFO]  [2022-07-11 04:42:06] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #523 has been downloaded

[INFO]  [2022-07-11 04:42:07] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #522 has been downloaded

[INFO]  [2022-07-11 04:42:07] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #514 has been downloaded

[INFO]  [2022-07-11 04:42:07] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #525 has been downloaded

[INFO]  [2022-07-11 04:42:07] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #524 has been downloaded

[INFO]  [2022-07-11 04:42:07] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #528 has been downloaded

[INFO]  [2022-07-11 04:42:08] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #527 has been downloaded

[INFO]  [2022-07-11 04:42:08] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #529 has been downloaded

[INFO]  [2022-07-11 04:42:08] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #531 has been downloaded

[INFO]  [2022-07-11 04:42:08] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #530 has been downloaded

[INFO]  [2022-07-11 04:42:08] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #533 has been downloaded

[INFO]  [2022-07-11 04:42:08] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #491 has been downloaded

[INFO]  [2022-07-11 04:42:09] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #532 has been downloaded

[INFO]  [2022-07-11 04:42:09] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #526 has been downloaded

[INFO]  [2022-07-11 04:42:09] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #502 has been downloaded

[INFO]  [2022-07-11 04:42:09] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #536 has been downloaded

[INFO]  [2022-07-11 04:42:09] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #538 has been downloaded

[INFO]  [2022-07-11 04:42:09] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #535 has been downloaded

[INFO]  [2022-07-11 04:42:09] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #537 has been downloaded

[INFO]  [2022-07-11 04:42:10] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #534 has been downloaded

[INFO]  [2022-07-11 04:42:10] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #546 has been downloaded

[INFO]  [2022-07-11 04:42:10] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #544 has been downloaded

[INFO]  [2022-07-11 04:42:10] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #543 has been downloaded

[INFO]  [2022-07-11 04:42:10] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #540 has been downloaded

[INFO]  [2022-07-11 04:42:11] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #545 has been downloaded

[INFO]  [2022-07-11 04:42:11] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #547 has been downloaded

[INFO]  [2022-07-11 04:42:11] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #541 has been downloaded

[INFO]  [2022-07-11 04:42:11] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #549 has been downloaded

[INFO]  [2022-07-11 04:42:11] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #550 has been downloaded

[INFO]  [2022-07-11 04:42:12] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #552 has been downloaded

[INFO]  [2022-07-11 04:42:12] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #548 has been downloaded

[INFO]  [2022-07-11 04:42:12] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #551 has been downloaded

[INFO]  [2022-07-11 04:42:12] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #553 has been downloaded

[INFO]  [2022-07-11 04:42:12] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #555 has been downloaded

[INFO]  [2022-07-11 04:42:12] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #556 has been downloaded

[INFO]  [2022-07-11 04:42:13] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #554 has been downloaded

[INFO]  [2022-07-11 04:42:13] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #542 has been downloaded

[INFO]  [2022-07-11 04:42:13] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #558 has been downloaded

[INFO]  [2022-07-11 04:42:13] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #560 has been downloaded

[INFO]  [2022-07-11 04:42:13] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #557 has been downloaded

[INFO]  [2022-07-11 04:42:13] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #559 has been downloaded

[INFO]  [2022-07-11 04:42:13] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #561 has been downloaded

[INFO]  [2022-07-11 04:42:13] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #562 has been downloaded

[INFO]  [2022-07-11 04:42:14] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #566 has been downloaded

[INFO]  [2022-07-11 04:42:14] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #568 has been downloaded

[INFO]  [2022-07-11 04:42:14] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #570 has been downloaded

[INFO]  [2022-07-11 04:42:14] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #567 has been downloaded

[INFO]  [2022-07-11 04:42:14] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #565 has been downloaded

[INFO]  [2022-07-11 04:42:14] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #569 has been downloaded

[INFO]  [2022-07-11 04:42:14] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #563 has been downloaded

[INFO]  [2022-07-11 04:42:15] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #573 has been downloaded

[INFO]  [2022-07-11 04:42:16] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #576 has been downloaded

[INFO]  [2022-07-11 04:42:16] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #571 has been downloaded

[INFO]  [2022-07-11 04:42:16] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #575 has been downloaded

[INFO]  [2022-07-11 04:42:16] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #572 has been downloaded

[INFO]  [2022-07-11 04:42:16] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #574 has been downloaded

[INFO]  [2022-07-11 04:42:16] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #577 has been downloaded

[INFO]  [2022-07-11 04:42:16] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #578 has been downloaded

[INFO]  [2022-07-11 04:42:16] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #579 has been downloaded

[INFO]  [2022-07-11 04:42:16] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #580 has been downloaded

[INFO]  [2022-07-11 04:42:16] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #564 has been downloaded

[INFO]  [2022-07-11 04:42:17] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #581 has been downloaded

[INFO]  [2022-07-11 04:42:17] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #582 has been downloaded

[INFO]  [2022-07-11 04:42:17] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #583 has been downloaded

[INFO]  [2022-07-11 04:42:17] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #587 has been downloaded

[INFO]  [2022-07-11 04:42:17] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #585 has been downloaded

[INFO]  [2022-07-11 04:42:18] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #584 has been downloaded

[INFO]  [2022-07-11 04:42:18] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #586 has been downloaded

[INFO]  [2022-07-11 04:42:18] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #589 has been downloaded

[INFO]  [2022-07-11 04:42:18] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #592 has been downloaded

[INFO]  [2022-07-11 04:42:18] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #593 has been downloaded

[INFO]  [2022-07-11 04:42:18] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #591 has been downloaded

[INFO]  [2022-07-11 04:42:19] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #590 has been downloaded

[INFO]  [2022-07-11 04:42:19] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #595 has been downloaded

[INFO]  [2022-07-11 04:42:19] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #596 has been downloaded

[INFO]  [2022-07-11 04:42:19] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #539 has been downloaded

[INFO]  [2022-07-11 04:42:19] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #594 has been downloaded

[INFO]  [2022-07-11 04:42:19] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #598 has been downloaded

[INFO]  [2022-07-11 04:42:19] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #597 has been downloaded

[INFO]  [2022-07-11 04:42:20] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #600 has been downloaded

[INFO]  [2022-07-11 04:42:20] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #599 has been downloaded

[INFO]  [2022-07-11 04:42:20] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #601 has been downloaded

[INFO]  [2022-07-11 04:42:20] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #602 has been downloaded

[INFO]  [2022-07-11 04:42:20] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #606 has been downloaded

[INFO]  [2022-07-11 04:42:20] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #605 has been downloaded

[INFO]  [2022-07-11 04:42:21] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #604 has been downloaded

[INFO]  [2022-07-11 04:42:21] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #608 has been downloaded

[INFO]  [2022-07-11 04:42:21] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #609 has been downloaded

[INFO]  [2022-07-11 04:42:21] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #611 has been downloaded

[INFO]  [2022-07-11 04:42:21] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #588 has been downloaded

[INFO]  [2022-07-11 04:42:21] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #610 has been downloaded

[INFO]  [2022-07-11 04:42:21] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #607 has been downloaded

[INFO]  [2022-07-11 04:42:21] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #612 has been downloaded

[INFO]  [2022-07-11 04:42:22] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #615 has been downloaded

[INFO]  [2022-07-11 04:42:22] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #616 has been downloaded

[INFO]  [2022-07-11 04:42:22] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #614 has been downloaded

[INFO]  [2022-07-11 04:42:22] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #621 has been downloaded

[INFO]  [2022-07-11 04:42:22] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #620 has been downloaded

[INFO]  [2022-07-11 04:42:22] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #618 has been downloaded

[INFO]  [2022-07-11 04:42:23] Torrent: debian-11.3.0-amd64-netinst.iso - Piece #619 has been downloaded

